County,GDP_2018
Alachua,12447381.00
Baker,595832.00
Bay,7606775.00
Bradford,659865.00
Brevard,23437467.00
Broward,96874849.00
Calhoun,250104.00
Charlotte,4670656.00
Citrus,3511018.00
Clay,4508532.00
Collier,15760299.00
Columbia,2117963.00
DeSoto,828489.00
Dixie,274765.00
Duval,59046312.00
Escambia,14133569.00
Flagler,2159015.00
Franklin,339243.00
Gadsden,1210807.00
Gilchrist,384761.00
Glades,270066.00
Gulf,377644.00
Hamilton,392338.00
Hardee,1113218.00
Hendry,1216050.00
Hernando,3817718.00
Highlands,2538660.00
Hillsborough,79951440.00
Holmes,323671.00
Indian River,5346831.00
Jackson,1199023.00
Jefferson,302750.00
Lafayette,209052.00
Lake,8284194.00
Lee,27046186.00
Leon,14165147.00
Levy,1102272.00
Liberty,182111.00
Madison,489921.00
Manatee,12599063.00
Marion,9237866.00
Martin,6946903.00
Miami-Dade,145882828.00
Monroe,4255911.00
Nassau,2213296.00
Okaloosa,10515093.00
Okeechobee,1151613.00
Orange,87741273.00
Osceola,8374889.00
Palm Beach,72270528.00
Pasco,11238393.00
Pinellas,46894199.00
Polk,22483500.00
Putnam,2009787.00
St. Johns,7357931.00
St. Lucie,8311311.00
Santa Rosa,3836306.00
Sarasota,17814560.00
Seminole,19779928.00
Sumter,2484841.00
Suwannee,1090123.00
Taylor,856461.00
Union,299208.00
Volusia,16446375.00
Wakulla,606163.00
Walton,2511146.00
Washington,491690.00
