County ,Poverty_Rate
Brevard County,0.134
Columbia County,0.168
Duval County,0.16
Gilchrist County,0.198
Gulf County,0.149
Lee County,0.149
Okeechobee County,0.223
Osceola County,0.178
Pinellas County,0.137
Polk County,0.173
Putnam County,0.276
Suwannee County,0.204
Taylor County,0.164
Union County,0.214
Alachua County,0.233
Bradford County,0.188
Calhoun County,0.129
Citrus County,0.174
Dixie County,0.237
Escambia County,0.146
Franklin County,0.201
Hamilton County,0.266
Hernando County,0.143
Leon County,0.205
Liberty County,0.178
Madison County,0.319
Marion County,0.176
Nassau County,0.114
Highlands County,0.187
Seminole County,0.118
Santa Rosa County,0.113
Wakulla County,0.126
Gadsden County,0.244
Levy County,0.219
Walton County,0.17
Lake County,0.128
Orange County,0.167
DeSoto County,0.299
Sumter County,0.092
Pasco County,0.136
Sarasota County,0.105
Washington County,0.21
Bay County,0.154
Flagler County,0.133
Jefferson County,0.139
Manatee County,0.134
Monroe County,0.127
Baker County,0.172
Hardee County,0.245
Hillsborough County,0.157
Miami-Dade County,0.19
Okaloosa County,0.115
Collier County,0.128
Holmes County,0.266
Jackson County,0.216
Palm Beach County,0.134
Glades County,0.18
Charlotte County,0.12
Indian River County,0.127
Broward County,0.14
St. Johns County,0.091
Clay County,0.104
Martin County,0.109
Hendry County,0.255
St. Lucie County,0.166
Volusia County,0.161
Lafayette County,0.178
